	word	frequency	volumes
236	increased	13432	65794.203125
237	ran	9588	65729.7890625
238	power	34679	65425.03125
239	beginning	14435	63599.5625
240	remained	20732	63116.5390625
241	household	5243	62951.46875
242	taken	18533	62447.63671875
243	move	16908	61731.51953125
244	car	15894	61278.34765625
245	seven	21051	61064.13671875
246	soon	16675	58528.671875
247	program	17134	58409.234375
248	run	37647	58052.59765625
249	cold	6144	57918.55078125
250	provide	10583	57267.53515625
251	resulted	8673	56114.37109375
252	change	24708	55323.32421875
253	place	42178	54686.19140625
254	second	83499	54280.29296875
255	already	11853	53203.92578125
256	enemy	11660	52788.58203125
257	failed	12406	51832.171875
258	post	19305	51345.640625
259	share	8299	51155.5625
260	site	22245	50680.078125
261	loss	16479	50460.64453125
262	lost	25032	50444.71875
263	ground	20473	50248.1953125
264	way	36324	49762.390625
265	washington	15130	49484.9296875
266	sold	17207	49389.22265625
267	sale	13028	49080.734375
268	driving	4020	49059.20703125
269	access	8388	48715.7890625
270	fell	9446	48658.8125
271	stone	15684	48417.73828125
272	staff	12850	48112.3359375
273	need	12719	47848.58984375
274	last	33918	47821.03515625
275	indicated	4208	47116.65234375
276	leaving	11030	47032.4296875
277	kingdom	17546	46658.0078125
278	effort	15540	46478.80859375
279	even	31377	46421.62109375
280	slightly	6998	46322.515625
281	central	21340	46243.15625
282	according	34057	45942.74609375
283	round	15468	45228.6171875
284	resulting	7614	44826.30078125
285	allow	9203	44630.08203125
286	event	30990	44218.5390625
287	found	45611	44006.6796875
288	took	43098	43739.5703125
289	pre	9424	43514.9375
290	turning	4901	43033.12109375
291	san	13224	42963.125
292	came	27133	42452.265625
293	scale	8534	42075.765625
294	across	20782	41997.15234375
295	primarily	7208	40938.93359375
296	take	35674	40528.09765625
297	higher	10667	40459.39453125
298	subsequent	7457	40410.80859375
299	saw	16922	40363.31640625
300	cost	14059	40003.32421875
301	started	17649	39991.04296875
302	passed	13297	39806.6484375
303	awarded	10352	39603.953125
304	space	14746	39492.4296875
305	business	15939	39358.2734375
306	satellite	3360	39105.94921875
307	plan	22640	39046.5859375
308	experienced	4844	38468.3984375
309	half	26592	38435.91015625
310	building	35078	38414.8359375
311	land	27222	38349.20703125
312	completed	16870	38217.7734375
313	successful	14051	37229.63671875
314	service	40615	37110.6015625
315	respectively	9006	36956.68359375
316	important	16732	36736.921875
317	fall	13446	36633.36328125
318	structure	16203	36559.546875
319	top	32467	36504.67578125
320	directly	7970	36383.93359375
321	machine	8872	36189.96484375
322	meet	10465	35817.1875
323	required	12338	35640.07421875
324	removed	9451	35593.74609375
325	right	34843	35490.296875
326	previous	20586	35469.92578125
327	room	15656	35468.19921875
328	improved	5456	35312.5078125
329	needed	8957	35229.15625
330	additionally	4322	35076.28515625
331	immediately	10494	35010.34765625
332	decided	17356	34633.203125
333	affected	6140	34596.359375
334	caused	17603	34319.73046875
335	complete	11857	34194.99609375
336	activity	13270	34091.484375
337	extensive	5525	34033.30078125
338	become	25253	34010.98046875
339	formed	17267	33856.421875
340	effect	21608	33752.87109375
341	direct	8477	33730.66796875
342	park	31011	33644.0546875
343	completely	6853	33247.078125
344	largely	8684	33217.6015625
345	particularly	13858	33073.1484375
346	received	41685	33069.11328125
347	australian	20661	32958.7578125
348	free	16416	32761.015625
349	australia	21622	32719.708984375
350	finally	10762	32682.56640625
351	order	33829	32538.974609375
352	hit	20260	32380.728515625
353	history	35960	32105.64453125
354	amount	9462	31959.712890625
355	f	15698	31928.0
356	powerful	6833	31864.73046875
357	occurred	8881	31481.00390625
358	today	10760	31431.564453125
359	edge	8260	31422.513671875
360	via	9581	31132.609375
361	bers	9331	31087.009765625
362	travel	8866	31046.6875
363	europe	14887	30760.779296875
364	agency	5700	30679.94921875
365	threat	7455	30512.203125
366	either	15362	30432.576171875
367	considered	26512	30415.572265625
368	toward	6270	30294.537109375
369	department	12410	30287.171875
370	lack	11759	30255.84765625
371	e	15223	30228.4765625
372	longer	10197	30019.05078125
373	size	11451	29989.263671875
374	normal	5378	29901.81640625
375	winter	9942	29880.353515625
376	third	38964	29764.42578125
377	extended	9882	29667.111328125
378	along	44258	29271.162109375
379	every	17087	28955.44921875
380	office	23108	28823.15234375
381	led	33505	28508.33203125
382	hall	16937	28329.296875
383	segment	5368	28235.056640625
384	onto	6941	28227.462890625
385	slow	5785	28189.908203125
386	spent	12581	28151.517578125
387	combined	7500	28145.80078125
388	anti	11354	28067.90625
389	evening	5352	27802.720703125
390	c	24808	27764.75
391	support	27453	27739.662109375
392	estimated	11158	27722.814453125
393	known	54803	27708.3828125
394	measure	7204	27593.41015625
395	greater	9033	27520.533203125
396	forced	13697	27125.255859375
